# SR785 Transfer Function Measurement
#Title: 2017-03-10.145346
#Memo: 
#Instrument ID: Stanford_Research_Systems,SR785,s/n77547,ver220
#
#---------- Given Arguments ----------
#Coherence: True
#arMode: UpOnly
#excAmp: .5
#filename: outputs/2017-03-10.145346
#gpibAddress: 10
#inputCoupling1: DC
#inputCoupling2: DC
#inputGND1: Float
#inputGND2: Float
#inputRange1: 
#inputRange2: 
#intCycles: 20
#ipAddress: gpib2.mit.edu
#memo: 
#numOfPoints: 200
#settleCycles: 2
#skipReset: False
#startFreq: 100000Hz
#stopFreq: 1Hz
#sweepType: Log
#title: 2017-03-10.145346
#
#---------- Measurement Parameters ----------
#Measurement Group: Swept Sine, Swept Sine, Swept Sine
#Measurements: Frequency Response, Frequency Response, Normalized variance 2
#View: Log Magnitude, Phase, Linear Magnitude
#Unit: dB, deg,  
#
#---------- Input Parameters ----------
#Input Source: Analog
#Input Mode: Single ended, Single ended
#Input Grounding: Float, Float
#Input Coupling: AC, AC
#Input Range: -36.0dBVpk, -22.0dBVpk
#Auto Range: On, On
#Auto Range Mode: Up Only, Normal
#Anti-Aliasing Filter: On, On
#
#---------- Measurement Setup ------------
#Start frequency = 100000.0
#Stop frequency = 1.0
#Number of frequency points = 201
#Excitation amplitude = 0.5mVpp
#Settling cycles = 2
#Integration cycles = 20
#
#---------- Instrument Data -----------
## Freqency(Hz) Magnitude(dB) Phase(deg) Coherence
2.8005039e+04 -2.1007141e+01 -1.3683325e+02 9.9995625e-01 
2.9673024e+04 -1.8168797e+01 -1.2368708e+02 9.9993932e-01 
3.1440355e+04 -1.4804390e+01 -1.2769310e+02 9.9992853e-01 
3.3312948e+04 -1.4638064e+01 -1.3129980e+02 9.9996263e-01 
3.5297073e+04 -1.4582275e+01 -1.6210008e+02 9.9991131e-01 
3.7399373e+04 -1.1346026e+01 1.6420563e+02 9.9999928e-01 
3.9626886e+04 -2.0347466e+01 -1.5576447e+02 9.9987411e-01 
4.1987071e+04 -1.6322935e+01 -1.4218080e+02 9.9995208e-01 
4.4487828e+04 -1.4788679e+01 1.7808337e+02 9.9996912e-01 
4.7137531e+04 -1.3366987e+01 -1.7916093e+02 9.9987715e-01 
4.9945051e+04 -1.3623092e+01 1.6683565e+02 9.9994725e-01 
5.2919787e+04 -1.3760389e+01 1.3526944e+02 9.9998546e-01 
5.6071699e+04 -1.4844063e+01 1.0051892e+02 9.9990594e-01 
5.9411340e+04 -1.6633400e+01 1.4205138e+02 9.9992841e-01 
6.2949890e+04 -1.2033837e+01 8.4153069e+01 9.9996710e-01 
6.6699197e+04 -1.8880854e+01 4.8667465e+01 9.9996543e-01 
7.0671813e+04 -2.0664997e+01 1.2488874e+01 9.9988019e-01 
7.4881039e+04 -1.9663120e+01 5.8459755e+01 9.9981380e-01 
7.9340967e+04 -2.5016087e+01 2.9372072e+01 9.9995273e-01 
8.4066529e+04 -3.1080408e+01 4.0958656e+01 9.9980235e-01 
8.9073546e+04 -2.7089640e+01 7.1702225e+01 9.9990076e-01 
9.4378783e+04 -2.4623203e+01 2.2796997e+01 9.9986339e-01 
1.0000000e+05 -3.0832096e+01 -3.7397018e+01 9.9952734e-01 
1.0595602e+05 7.6255447e+01 6.0822353e+01 9.9999994e-01 
